,0,1,2,3,means
Day 01,0.009,0.063,0.034,0.09,0.049
Day 06,0.012,0.075,0.027,0.083,0.049
Day 13,0.012,0.003,0.014,0.046,0.019
Day 20,0.012,0.003,0.013,0.049,0.019
Day 28,0.013,0.008,0.029,0.015,0.016
