,0,1,2,3,means
01,0.008,0.056,0.025,0.082,0.043
06,0.009,0.061,0.021,0.079,0.042
13,0.011,0.003,0.013,0.042,0.017
20,0.011,0.003,0.01,0.038,0.016
28,0.013,0.007,0.024,0.012,0.014
